implementation,language,size,time_sec,max_rss_kb,nodes_created,nodes_alive,solutions
BuDDy,C,4,0.12946909500169568,33216,712,29,2.0
Sylvan,C,4,0.7591817209977307,2183268,772,30,2.0
CUDD,C,4,0.005817700002808124,0,656,30,2.0
JDD,Java,4,0.1248609789981856,49936,681,29,2.0
JSylvan,Java,4,0.3107552459987346,71288,759,30,2.0
NDD,Java,4,0.037015,52336,416,138,2.0
NDD-SoA,Java,4,0.045412,52528,432,39,2.0
DD-BDD,C#,4,0.11121744200136163,32256,652,32,2.0
DD-CBDD,C#,4,0.11663466000027256,25676,601,18,2.0
BuDDy,C,5,0.021337267997296294,3872,1954,167,10.0
Sylvan,C,5,0.5973583070008317,2183032,2145,167,10.0
CUDD,C,5,0.00654399400082184,0,1825,167,10.0
JDD,Java,5,0.1155309709974972,48592,1974,167,10.0
JSylvan,Java,5,0.25595820200032904,56056,2094,167,10.0
NDD,Java,5,0.05624,52544,976,283,10.0
NDD-SoA,Java,5,0.063926,53980,1026,81,10.0
DD-BDD,C#,5,0.113940711999021,32460,1815,171,10.0
DD-CBDD,C#,5,0.12007857900243835,32236,1694,82,10.0
BuDDy,C,6,0.027110402999824146,3916,5202,129,4.0
Sylvan,C,6,0.5212269309995463,2183316,5664,130,4.0
CUDD,C,6,0.013134390002960572,10288,4950,130,4.0
JDD,Java,6,0.1849171439971542,65564,5292,129,4.0
JSylvan,Java,6,0.280541901000106,71604,5543,130,4.0
NDD,Java,6,0.069454,68460,2066,449,4.0
NDD-SoA,Java,6,0.076193,66740,2186,93,4.0
DD-BDD,C#,6,0.11895876699782093,32256,4944,134,4.0
DD-CBDD,C#,6,0.12031456200202229,32552,4536,50,4.0
BuDDy,C,7,0.03075994499886292,3852,15181,1099,40.0
Sylvan,C,7,0.7463685309994617,2183328,15922,1099,40.0
CUDD,C,7,0.011809571999037871,12300,14579,1099,40.0
JDD,Java,7,0.17627297499711858,51036,15213,1099,40.0
JSylvan,Java,7,0.24505537599907257,73212,15691,1099,40.0
NDD,Java,7,0.097048,72664,4273,817,40.0
NDD-SoA,Java,7,0.087469,63812,4518,245,40.0
DD-BDD,C#,7,0.1360500190021412,40520,14558,1105,40.0
DD-CBDD,C#,7,0.1369866130007722,40080,13278,386,40.0
BuDDy,C,8,0.044305377999990014,3876,53611,2451,92.0
Sylvan,C,8,0.5928278030005458,2183204,54531,2451,92.0
CUDD,C,8,0.0314463960021385,10544,52385,2451,92.0
JDD,Java,8,0.19817124999826774,58064,53083,2451,92.0
JSylvan,Java,8,0.30289773999902536,77324,54140,2451,92.0
NDD,Java,8,0.166599,88820,9877,1274,92.0
NDD-SoA,Java,8,0.098466,66500,10325,415,92.0
DD-BDD,C#,8,0.21217248100219877,39800,52181,2458,92.0
DD-CBDD,C#,8,0.19683630699728383,40228,46171,772,92.0
BuDDy,C,9,0.07540199700088124,6860,218386,9557,352.0
Sylvan,C,9,0.7562246339984995,2183180,219658,9557,352.0
CUDD,C,9,0.14428346600107034,17928,216602,9557,352.0
JDD,Java,9,0.4177785540014156,59084,217230,9557,352.0
JSylvan,Java,9,0.397856782998133,75956,219050,9557,352.0
NDD,Java,9,0.394078,127348,27781,2360,352.0
NDD-SoA,Java,9,0.143214,74832,28537,1133,352.0
DD-BDD,C#,9,0.3500694959984685,44188,215883,9565,352.0
DD-CBDD,C#,9,0.3453741410012299,40732,185654,2795,352.0
BuDDy,C,10,0.32130201399922953,12108,958740,25945,724.0
Sylvan,C,10,0.9968322059976344,2183272,959239,25945,724.0
CUDD,C,10,0.5466055920005601,37744,954767,25945,724.0
JDD,Java,10,0.6530801299995801,72048,956019,25945,724.0
JSylvan,Java,10,0.5821302650001599,96672,959494,25945,724.0
NDD,Java,10,0.818685,212076,94507,4310,724.0
NDD-SoA,Java,10,0.369605,88724,95707,2625,724.0
DD-BDD,C#,10,0.7659118520023185,86336,953485,25954,724.0
DD-CBDD,C#,10,0.43157012200026657,62360,793143,6601,724.0
BuDDy,C,11,3.8804960340021353,32816,4699647,94822,2680.0
Sylvan,C,11,2.8614533369982382,4364436,4696837,94822,2680.0
CUDD,C,11,3.916201796000678,165444,4687448,94822,2680.0
JDD,Java,11,2.9301471170001605,95672,4691203,94822,2680.0
JSylvan,Java,11,1.9435606199986069,215064,4694046,94822,2680.0
NDD,Java,11,3.08332,605508,392824,10487,2680.0
NDD-SoA,Java,11,0.871286,212720,394639,8244,2680.0
DD-BDD,C#,11,3.031966943999578,312868,4332298,94832,2680.0
DD-CBDD,C#,11,1.7991712670009292,194552,1894823,22455,2680.0
BuDDy,C,12,49.03356489499856,131664,24741296,435170,14200.0
Sylvan,C,12,11.35017814100138,8720760,24697998,435170,14200.0
CUDD,C,12,31.474212122997415,289852,24740519,435170,14200.0
JDD,Java,12,19.339360420002777,215312,24719128,435170,14200.0
JSylvan,Java,12,9.267101535006077,400368,24729223,435170,14200.0
NDD,Java,12,12.091443,2189260,1848510,36749,14200.0
NDD-SoA,Java,12,3.844365,542588,1851150,33837,14200.0
DD-BDD,C#,12,14.893531893001636,1033860,12943122,435181,14200.0
DD-CBDD,C#,12,10.283850246996735,682648,2992136,98900,14200.0
